Player,Age,Team,Pos,MIN,Usage,"",PSA,"","AST%","","AST:Usg","","TOV%",""
"Jae Crowder",29.3,MIA,Big,268,27,"13.6%",91,134.8,20,"6.1%",29,0.45,99,"4.7%"
"Jae Crowder",29.3,MEM,Forward,1316,52,"16.0%",28,101.6,76,"12.4%",81,0.78,66,"10.7%"
"Jarrett Culver",20.6,MIN,Combo,1307,38,"18.8%",10,88.5,8,"10.6%",5,0.56,66,"11.2%"
"Seth Curry",29.1,DAL,Combo,1318,25,"17.3%",98,129.9,15,"11.8%",20,0.68,89,"9.8%"
"Stephen Curry",31.6,GSW,Point,112,87,"32.5%",57,111.0,67,"33.8%",30,1.04,17,"15.8%"
"Troy Daniels",28.2,LAL,Wing,373,25,"13.1%",39,107.4,3,"3.9%",2,0.30,92,"7.1%"
"Anthony Davis",26.6,LAL,Big,1744,96,"27.4%",76,124.1,90,"15.3%",48,0.56,80,"10.9%"
"Ed Davis",30.4,UTA,Big,240,3,"8.4%",1,84.8,10,"5.2%",63,0.62,3,"24.4%"
"Terence Davis",22.4,TOR,Combo,961,20,"17.3%",89,117.1,18,"12.4%",23,0.72,44,"12.6%"
"Dewayne Dedmon",30.2,SAC,Big,519,60,"17.0%",5,94.8,3,"4.3%",2,0.26,4,"22.6%"
"Dewayne Dedmon",30.2,ATL,Big,137,33,"13.9%",10,102.3,1,"3.8%",3,0.28,71,"11.9%"
"Matthew Dellavedova",29.1,CLE,Combo,617,16,"16.8%",7,87.2,85,"28.0%",100,1.67,0,"18.8%"
"DeMar DeRozan",30.2,SAS,Forward,1899,97,"29.1%",84,121.1,96,"25.2%",88,0.87,63,"10.8%"
"Cheick Diallo",23.1,PHX,Big,359,31,"13.8%",94,136.5,46,"8.2%",58,0.59,24,"15.7%"
"Hamidou Diallo",21.2,OKC,Wing,610,42,"15.2%",14,96.6,7,"4.8%",3,0.31,28,"13.1%"
"Gorgui Dieng",29.7,MIN,Big,762,67,"17.7%",43,113.3,81,"12.7%",77,0.72,56,"13.3%"
"Gorgui Dieng",29.7,MEM,Big,127,22,"13.3%",29,109.5,15,"5.6%",22,0.42,87,"9.5%"
"Spencer Dinwiddie",26.5,BKN,Combo,1850,97,"32.8%",62,109.3,95,"34.7%",70,1.06,67,"11.2%"
"Donte DiVincenzo",22.7,MIL,Combo,1183,15,"16.2%",75,112.0,16,"12.1%",30,0.75,46,"12.6%"
