Player,Age,Team,Pos,MIN,"FT%","","SFLD%","","FFLD%","","AND1%",""
"DeSagana Diop",21.7,CLE,Big,656,"","62.5%",0,"0.0%",0,"0.0%",0,""
"Vlade Divac",35.7,SAC,Big,2310,34,"65.4%",0,"0.0%",86,"0.0%",0,""
"Juan Dixon",25.0,WAS,Combo,1397,53,"78.7%",0,"0.0%",0,"0.0%",0,""
"Michael Doleac",26.3,DEN,Big,318,"","91.7%",0,"0.0%",0,"0.0%",0,""
"Michael Doleac",26.3,NYK,Big,656,96,"86.1%",0,"0.0%",0,"0.0%",0,""
"Keyon Dooling",23.4,LAC,Combo,1090,65,"82.2%",0,"0.0%",0,"0.0%",0,""
"Predrag Drobnjak",28.0,LAC,Big,928,95,"84.9%",0,"0.0%",0,"0.0%",0,""
"Tim Duncan",27.5,SAS,Big,2516,21,"59.9%",0,"0.0%",0,"0.0%",0,""
"Mike Dunleavy",23.1,GSW,Wing,2311,27,"73.8%",0,"0.0%",0,"0.0%",0,""
"Ronald Dupree",22.7,CHI,Wing,844,9,"64.1%",0,"0.0%",0,"0.0%",0,""
"Howard Eisley",30.9,NYK,Point,723,92,"88.9%",0,"0.0%",0,"0.0%",0,""
"Howard Eisley",30.9,PHX,Point,717,69,"83.0%",0,"0.0%",0,"0.0%",0,""
"Francisco Elson",27.6,DEN,Big,813,36,"66.7%",0,"0.0%",0,"0.0%",0,""
"Melvin Ely",25.5,LAC,Big,470,24,"61.1%",0,"0.0%",0,"0.0%",0,""
"Reggie Evans",23.4,OKC,Big,1235,13,"56.9%",0,"0.0%",98,"0.1%",0,""
"Michael Finley",30.6,DAL,Wing,2777,85,"84.8%",0,"0.0%",0,"0.0%",0,""
"Derek Fisher",29.2,LAL,Combo,1682,56,"78.7%",0,"0.0%",100,"0.0%",0,""
"Marcus Fizer",25.2,CHI,Big,718,72,"75.5%",0,"0.0%",0,"0.0%",0,""
"T.J. Ford",20.6,MIL,Point,1479,62,"82.3%",0,"0.0%",0,"0.0%",0,""
"Danny Fortson",27.5,DAL,Big,608,91,"81.1%",0,"0.0%",0,"0.0%",0,""
"Jeff Foster",26.7,IND,Big,1940,37,"66.9%",0,"0.0%",90,"0.0%",0,""
"Tremaine Fowlkes",27.5,DET,Wing,227,"","75.0%",0,"0.0%",0,"0.0%",0,""
"Rick Fox",34.2,LAL,Wing,846,23,"73.3%",0,"0.0%",0,"0.0%",0,""
"Adonal Foyle",28.6,GSW,Big,564,11,"54.3%",0,"0.0%",0,"0.0%",0,""
"Richie Frahm",26.2,OKC,Wing,391,"","88.9%",0,"0.0%",0,"0.0%",0,""
"Steve Francis",26.6,HOU,Point,3192,33,"77.5%",0,"0.0%",0,"0.0%",0,""
"Dan Gadzuric",25.7,MIL,Big,1205,6,"49.1%",0,"0.0%",0,"0.0%",0,""
"Reece Gaines",22.8,ORL,Wing,298,"","53.3%",0,"0.0%",0,"0.0%",0,""
"Kevin Garnett",27.4,MIN,Big,3228,87,"79.1%",0,"0.0%",0,"0.0%",0,""
"Pau Gasol",23.3,MEM,Big,2438,55,"71.2%",0,"0.0%",86,"0.0%",0,""
"Devean George",26.1,LAL,Forward,1931,54,"76.0%",0,"0.0%",0,"0.0%",0,""
"Eddie Gill",25.2,POR,Point,138,"","86.7%",0,"0.0%",0,"0.0%",0,""
"Kendall Gill",35.4,CHI,Wing,1382,26,"73.4%",0,"0.0%",0,"0.0%",0,""
"Manu Ginobili",26.2,SAS,Wing,2241,63,"79.9%",0,"0.0%",0,"0.0%",0,""
"Gordan Giricek",26.3,ORL,Wing,1397,65,"80.3%",0,"0.0%",0,"0.0%",0,""
"Gordan Giricek",26.3,UTA,Wing,600,94,"88.3%",0,"0.0%",0,"0.0%",0,""
"Dion Glover",25.0,ATL,Wing,1440,45,"77.1%",0,"0.0%",0,"0.0%",0,""
"Dion Glover",25.0,TOR,Wing,171,"","71.4%",0,"0.0%",0,"0.0%",0,""
"Drew Gooden",22.1,ORL,Big,2104,27,"62.7%",0,"0.0%",0,"0.0%",0,""
"Brian Grant",31.6,MIA,Big,2298,84,"78.2%",0,"0.0%",88,"0.0%",0,""
"Horace Grant",38.3,LAL,Big,1090,57,"72.2%",0,"0.0%",0,"0.0%",0,""
"Willie Green",22.2,PHI,Wing,716,19,"70.7%",0,"0.0%",0,"0.0%",0,""
"Adrian Griffin",29.3,HOU,Wing,112,"","0.0%",0,"0.0%",0,"0.0%",0,""
"Tom Gugliotta",33.8,PHX,Big,296,"","66.7%",0,"0.0%",0,"0.0%",0,""
"Tom Gugliotta",33.8,UTA,Big,514,"","70.0%",0,"0.0%",0,"0.0%",0,""
"Marcus Haislip",22.8,MIL,Big,227,"","68.0%",0,"0.0%",0,"0.0%",0,""
