Player,Age,Team,Pos,MIN,"BLK%","","STL%","","FOUL%","","fgOR%","","fgDR%","","ftOR%","","ftDR%",""
"Cheick Diallo",23.1,PHX,Big,359,38,"1.4%",34,"1.0%",29,"4.9%",42,"6.5%",64,"20.0%",92,"9.1%",65,"34.8%"
"Hamidou Diallo",21.2,OKC,Wing,610,47,"0.6%",69,"1.6%",19,"4.5%",89,"4.4%",66,"11.7%",0,"0.0%",79,"17.9%"
"Gorgui Dieng",29.7,MIN,Big,762,81,"2.8%",92,"2.0%",37,"4.5%",58,"8.6%",82,"21.8%",0,"0.0%",79,"39.5%"
"Gorgui Dieng",29.7,MEM,Big,127,85,"3.1%",99,"2.8%",55,"3.8%",28,"5.0%",64,"20.0%",98,"14.3%",62,"33.3%"
"Spencer Dinwiddie",26.5,BKN,Combo,1850,52,"0.5%",7,"0.8%",41,"3.3%",26,"1.6%",43,"9.2%",0,"0.0%",0,"0.0%"
"Donte DiVincenzo",22.7,MIL,Combo,1183,62,"0.6%",98,"2.5%",70,"2.8%",93,"4.6%",98,"14.6%",72,"1.2%",39,"3.6%"
"Luka Doncic",20.6,DAL,Wing,1573,15,"0.3%",52,"1.3%",76,"2.5%",87,"4.2%",100,"22.4%",64,"0.9%",88,"25.0%"
"Luguentz Dort",20.5,OKC,Wing,518,5,"0.1%",86,"1.9%",1,"5.5%",56,"2.6%",1,"4.6%",93,"3.7%",40,"5.3%"
"Damyean Dotson",25.4,NYK,Wing,740,14,"0.3%",45,"1.2%",91,"2.2%",3,"0.6%",43,"10.1%",0,"0.0%",21,"1.6%"
"Sekou Doumbouya",18.8,DET,Forward,617,30,"0.5%",58,"1.4%",25,"4.1%",43,"2.8%",66,"14.8%",0,"0.0%",36,"13.8%"
"PJ Dozier",23.0,DEN,Wing,208,86,"1.2%",59,"1.4%",20,"4.5%",38,"1.8%",54,"11.2%",0,"0.0%",50,"7.1%"
"Goran Dragic",33.4,MIA,Point,1354,30,"0.3%",7,"0.8%",70,"2.4%",28,"1.6%",39,"9.0%",0,"0.0%",50,"3.7%"
"Andre Drummond",26.2,CLE,Big,153,65,"2.2%",98,"2.7%",90,"2.7%",93,"12.8%",99,"30.6%",0,"0.0%",99,"100.0%"
"Andre Drummond",26.2,DET,Big,1635,76,"2.6%",97,"2.6%",59,"3.7%",96,"13.9%",100,"32.4%",53,"2.0%",99,"68.7%"
"Jared Dudley",34.3,LAL,Big,229,1,"0.2%",76,"1.4%",6,"6.6%",0,"0.0%",4,"10.2%",0,"0.0%",17,"17.6%"
"Kris Dunn",25.6,CHI,Point,1254,80,"0.8%",100,"3.4%",2,"5.1%",37,"1.8%",87,"14.0%",0,"0.0%",78,"7.5%"
"Carsen Edwards",21.6,BOS,Combo,231,48,"0.5%",26,"1.1%",20,"4.0%",44,"2.0%",79,"12.6%",0,"0.0%",66,"6.2%"
"Wayne Ellington",31.9,NYK,Combo,424,18,"0.2%",23,"1.0%",61,"2.9%",3,"0.9%",38,"9.0%",0,"0.0%",67,"6.5%"
"Joel Embiid",25.6,PHI,Big,1299,68,"2.3%",60,"1.2%",44,"4.2%",65,"9.1%",96,"27.4%",65,"3.6%",72,"37.3%"
"James Ennis",29.3,ORL,Wing,155,90,"1.3%",13,"0.8%",98,"1.9%",98,"6.2%",79,"13.0%",0,"0.0%",100,"50.0%"
"James Ennis",29.3,PHI,Wing,749,80,"1.0%",36,"1.1%",25,"4.2%",99,"6.5%",81,"13.1%",0,"0.0%",64,"9.6%"
"Jacob Evans",22.3,GSW,Wing,377,93,"1.5%",28,"1.0%",22,"4.3%",48,"2.2%",23,"8.2%",0,"0.0%",0,"0.0%"
"Dante Exum",24.3,CLE,Wing,382,68,"0.8%",49,"1.2%",57,"3.0%",55,"2.4%",60,"11.3%",0,"0.0%",63,"9.5%"
"Derrick Favors",28.2,NOP,Big,953,62,"2.0%",37,"1.0%",71,"3.3%",89,"12.1%",90,"25.4%",79,"5.8%",71,"37.0%"
"Cristiano Felicio",27.3,CHI,Big,373,3,"0.3%",54,"1.1%",73,"3.2%",97,"14.8%",22,"14.1%",88,"7.7%",12,"13.6%"
"Terrance Ferguson",21.4,OKC,Wing,1083,55,"0.7%",23,"0.9%",4,"5.3%",49,"2.2%",0,"4.5%",0,"0.0%",0,"0.0%"
"Bruno Fernando",21.2,ATL,Big,582,40,"1.5%",49,"1.1%",9,"6.3%",73,"10.1%",51,"17.5%",0,"0.0%",53,"30.0%"
"Yogi Ferrell",26.4,SAC,Point,428,54,"0.5%",41,"1.4%",54,"2.8%",20,"1.4%",37,"8.9%",0,"0.0%",65,"5.0%"
"Dorian Finney-Smith",26.4,DAL,Forward,1775,69,"1.0%",28,"1.0%",49,"3.3%",96,"6.6%",27,"10.9%",82,"3.7%",22,"11.3%"
"Bryn Forbes",26.2,SAS,Wing,1437,0,"0.0%",25,"1.0%",47,"3.2%",12,"0.9%",15,"7.5%",0,"0.0%",24,"2.4%"
"Evan Fournier",27.0,ORL,Wing,1858,21,"0.3%",67,"1.6%",59,"3.0%",9,"0.8%",16,"7.5%",65,"1.1%",56,"7.9%"
"De'Aaron Fox",21.8,SAC,Point,1250,87,"0.8%",70,"1.9%",24,"3.4%",43,"2.0%",63,"11.0%",93,"2.8%",74,"6.5%"
"Tim Frazier",28.9,DET,Point,310,57,"0.5%",78,"2.0%",4,"5.1%",70,"3.0%",11,"7.0%",0,"0.0%",0,"0.0%"
"Markelle Fultz",21.4,ORL,Combo,1651,33,"0.3%",82,"2.0%",74,"2.6%",30,"1.6%",64,"10.8%",0,"0.0%",21,"1.5%"
"Daniel Gafford",21.0,CHI,Big,491,99,"5.3%",54,"1.1%",8,"6.4%",68,"9.4%",4,"10.2%",0,"0.0%",1,"3.8%"
"Danilo Gallinari",31.2,OKC,Big,1559,0,"0.1%",38,"1.0%",100,"1.5%",6,"2.2%",42,"16.7%",0,"0.0%",0,"3.0%"
"Langston Galloway",27.8,DET,Wing,1527,19,"0.3%",33,"1.1%",87,"2.3%",35,"1.8%",10,"6.9%",0,"0.0%",35,"4.3%"
"Darius Garland",19.7,CLE,Combo,1761,5,"0.1%",16,"1.0%",97,"2.0%",20,"1.4%",0,"4.8%",0,"0.0%",16,"1.3%"
